date,week,location_id,name,location_resolution,state_of_emergency,shelter_in_place,days_since_1st_case,date_of_1st_case,collapsed_measure
2020-01-02,0,34,New Jersey,state,2020-03-09,2020-03-21,-62,2020-03-04,0.8676258609321179
2020-01-02,0,39,Ohio,state,2020-03-09,2020-03-24,-67,2020-03-09,0.9288164748053783
2020-01-02,0,44,Rhode Island,state,2020-03-09,2020-03-28,-59,2020-03-01,0.8477345717525601
2020-01-02,0,09,Connecticut,state,2020-03-10,2020-03-23,-66,2020-03-08,0.9219478048325868
2020-01-02,0,25,Massachusetts,state,2020-03-10,2020-03-24,-30,2020-02-01,0.9331766600675676
2020-01-02,0,26,Michigan,state,2020-03-10,2020-03-24,-68,2020-03-10,0.9725572142559673
2020-01-02,0,37,North Carolina,state,2020-03-10,2020-03-30,-61,2020-03-03,0.923980735038881
2020-01-02,0,02,Alaska,state,2020-03-11,2020-03-28,-70,2020-03-12,1.0456537375723431
2020-01-02,0,04,Arizona,state,2020-03-11,2020-03-31,-24,2020-01-26,0.9903279771116732
2020-01-02,0,05,Arkansas,state,2020-03-11,,-69,2020-03-11,0.8643623599071358
2020-01-02,0,08,Colorado,state,2020-03-11,2020-03-26,-63,2020-03-05,1.260873531126676
2020-01-02,0,11,District of Columbia,state,2020-03-11,2020-04-01,-65,2020-03-07,0.8936075904559732
2020-01-02,0,22,Louisiana,state,2020-03-11,2020-03-23,-67,2020-03-09,0.8864622564420231
2020-01-02,0,35,New Mexico,state,2020-03-11,2020-03-24,-69,2020-03-11,1.1769888705407852
2020-01-02,0,20,Kansas,state,2020-03-12,2020-03-30,-65,2020-03-07,0.8230354882787579
2020-01-02,0,30,Montana,state,2020-03-12,2020-03-28,-71,2020-03-13,1.0196121731508083
2020-01-02,0,32,Nevada,state,2020-03-12,2020-03-31,-63,2020-03-05,1.342732148724738
2020-01-02,0,47,Tennessee,state,2020-03-12,2020-04-02,-63,2020-03-05,1.04850618779126
2020-01-02,0,51,Virginia,state,2020-03-12,2020-03-30,-65,2020-03-07,0.9545513243469999
2020-01-02,0,55,Wisconsin,state,2020-03-12,2020-03-25,-34,2020-02-05,0.8394906642567085
2020-01-02,0,01,Alabama,state,2020-03-13,2020-04-04,-71,2020-03-13,0.8294304063523588
2020-01-02,0,10,Delaware,state,2020-03-13,2020-03-24,-69,2020-03-11,0.8526051362014483
2020-01-02,0,16,Idaho,state,2020-03-13,2020-03-25,-71,2020-03-13,0.9455513143404151
2020-01-02,0,27,Minnesota,state,2020-03-13,2020-03-27,-64,2020-03-06,0.8862852248124851
2020-01-02,0,29,Missouri,state,2020-03-13,2020-04-06,-65,2020-03-07,0.8269133062641932
2020-01-02,0,31,Nebraska,state,2020-03-13,,-46,2020-02-17,0.8926202624594808
2020-01-02,0,33,New Hampshire,state,2020-03-13,2020-03-27,-60,2020-03-02,1.063567159168881
2020-01-02,0,38,North Dakota,state,2020-03-13,,-69,2020-03-11,0.7815788092009818
2020-01-02,0,45,South Carolina,state,2020-03-13,2020-04-07,-64,2020-03-06,0.9342557253754649
2020-01-02,0,46,South Dakota,state,2020-03-13,,-68,2020-03-10,0.8040918829986573
2020-01-02,0,50,Vermont,state,2020-03-13,2020-03-25,-65,2020-03-07,1.3131365678620164
2020-01-02,0,56,Wyoming,state,2020-03-13,,-69,2020-03-11,1.2751016069857044
2020-01-02,0,13,Georgia,state,2020-03-14,2020-04-03,-60,2020-03-02,1.7883511284024713
2020-01-02,0,28,Mississippi,state,2020-03-14,2020-03-31,-69,2020-03-11,0.8343195466193963
2020-01-02,0,23,Maine,state,2020-03-15,2020-04-02,-70,2020-03-12,1.147138287293716
2020-01-02,0,40,Oklahoma,state,2020-03-15,,-64,2020-03-06,0.8645673358398994
2020-01-02,0,54,West Virginia,state,2020-03-16,2020-03-24,-75,2020-03-17,0.9870160705524601
2020-01-02,0,19,Iowa,state,2020-03-17,,-66,2020-03-08,0.7182703691652107
2020-01-02,0,48,Texas,state,2020-03-19,2020-04-02,-41,2020-02-12,0.9533342690293477
2020-01-03,0,53,Washington,state,2020-02-29,2020-03-23,-18,2020-01-21,0.8754329939961075
2020-01-03,0,06,California,state,2020-03-04,2020-03-19,-22,2020-01-25,1.0168233342550637
2020-01-03,0,15,Hawaii,state,2020-03-04,2020-03-25,-63,2020-03-06,1.227909712823472
2020-01-03,0,24,Maryland,state,2020-03-05,2020-03-30,-62,2020-03-05,0.8865811032386488
2020-01-03,0,18,Indiana,state,2020-03-06,2020-03-24,-63,2020-03-06,0.8477579071047366
2020-01-03,0,21,Kentucky,state,2020-03-06,2020-03-26,-63,2020-03-06,0.8035342007478352
2020-01-03,0,42,Pennsylvania,state,2020-03-06,2020-04-01,-63,2020-03-06,0.8100634013647787
2020-01-03,0,49,Utah,state,2020-03-06,,-53,2020-02-25,0.9568839183989623
2020-01-03,0,36,New York,state,2020-03-07,2020-03-22,-58,2020-03-01,0.9406137279657668
2020-01-03,0,41,Oregon,state,2020-03-08,2020-03-23,-56,2020-02-28,0.9133883162502267
2020-01-03,0,12,Florida,state,2020-03-09,2020-04-03,-58,2020-03-01,1.0134731439657598
2020-01-03,0,17,Illinois,state,2020-03-09,2020-03-21,-21,2020-01-24,0.8348722302882537
2020-01-03,0,34,New Jersey,state,2020-03-09,2020-03-21,-61,2020-03-04,0.8964949472702527
2020-01-03,0,39,Ohio,state,2020-03-09,2020-03-24,-66,2020-03-09,0.9687559348469895
2020-01-03,0,44,Rhode Island,state,2020-03-09,2020-03-28,-58,2020-03-01,0.801715377838048
2020-01-03,0,09,Connecticut,state,2020-03-10,2020-03-23,-65,2020-03-08,0.885432049997109
2020-01-03,0,25,Massachusetts,state,2020-03-10,2020-03-24,-29,2020-02-01,0.9630981248944064
2020-01-03,0,26,Michigan,state,2020-03-10,2020-03-24,-67,2020-03-10,0.8254215600308301
2020-01-03,0,37,North Carolina,state,2020-03-10,2020-03-30,-60,2020-03-03,0.8520532169720146
2020-01-03,0,02,Alaska,state,2020-03-11,2020-03-28,-69,2020-03-12,1.0154138072231167
2020-01-03,0,04,Arizona,state,2020-03-11,2020-03-31,-23,2020-01-26,0.9141810950970474
2020-01-03,0,05,Arkansas,state,2020-03-11,,-68,2020-03-11,0.7344087370412137
2020-01-03,0,08,Colorado,state,2020-03-11,2020-03-26,-62,2020-03-05,1.0572576126829711
2020-01-03,0,11,District of Columbia,state,2020-03-11,2020-04-01,-64,2020-03-07,0.9157907804711435
2020-01-03,0,22,Louisiana,state,2020-03-11,2020-03-23,-66,2020-03-09,0.761111799870087
2020-01-03,0,35,New Mexico,state,2020-03-11,2020-03-24,-68,2020-03-11,1.0116097631073167
2020-01-03,0,20,Kansas,state,2020-03-12,2020-03-30,-64,2020-03-07,0.7452865378191081
2020-01-03,0,30,Montana,state,2020-03-12,2020-03-28,-70,2020-03-13,0.8745340792341834
2020-01-03,0,32,Nevada,state,2020-03-12,2020-03-31,-62,2020-03-05,0.9880443322401482
2020-01-03,0,47,Tennessee,state,2020-03-12,2020-04-02,-62,2020-03-05,0.8963027272910219
2020-01-03,0,51,Virginia,state,2020-03-12,2020-03-30,-64,2020-03-07,0.8145643614878916
2020-01-03,0,55,Wisconsin,state,2020-03-12,2020-03-25,-33,2020-02-05,0.8760298915458734
2020-01-03,0,01,Alabama,state,2020-03-13,2020-04-04,-70,2020-03-13,0.7587414515305015
2020-01-03,0,10,Delaware,state,2020-03-13,2020-03-24,-68,2020-03-11,0.8578781512199463
2020-01-03,0,16,Idaho,state,2020-03-13,2020-03-25,-70,2020-03-13,0.9762883168441153
2020-01-03,0,27,Minnesota,state,2020-03-13,2020-03-27,-63,2020-03-06,0.817024475704034
2020-01-03,0,29,Missouri,state,2020-03-13,2020-04-06,-64,2020-03-07,0.8051009941769718
2020-01-03,0,31,Nebraska,state,2020-03-13,,-45,2020-02-17,0.8163874857698041
2020-01-03,0,33,New Hampshire,state,2020-03-13,2020-03-27,-59,2020-03-02,0.8804070782793038
2020-01-03,0,38,North Dakota,state,2020-03-13,,-68,2020-03-11,0.8642597601580908
